epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3567.84,0.66112,0.57747,1.09507,0.9089,0.95021,0.97372,0.72777,0.99454,0.84038,1.44176,0.0017294,0.0017294,0.0017294
43,3656.28,0.64803,0.52134,1.0934,0.95367,0.88889,0.959,0.62395,1.06695,0.94035,1.56429,0.0017228,0.0017228,0.0017228
44,3745.4,0.66169,0.55869,1.0928,0.98281,0.92063,0.96664,0.77322,0.82082,0.69276,1.37725,0.0017162,0.0017162,0.0017162
45,3834.03,0.67366,0.52636,1.07622,0.97058,0.95238,0.98123,0.79066,0.8279,0.70624,1.33622,0.0017096,0.0017096,0.0017096
46,3922.98,0.64613,0.53734,1.07202,0.96487,0.87204,0.97324,0.78086,0.83623,0.73245,1.27003,0.001703,0.001703,0.001703
47,4011.53,0.64887,0.54082,1.09447,0.97792,0.95238,0.98865,0.7362,0.90076,0.70448,1.30788,0.0016964,0.0016964,0.0016964
48,4106.58,0.66925,0.54536,1.10379,0.87915,0.95238,0.96946,0.77664,0.83267,0.68805,1.25304,0.0016898,0.0016898,0.0016898
49,4195.18,0.65737,0.51481,1.06886,0.97169,0.93651,0.98069,0.7834,0.78882,0.69744,1.20273,0.0016832,0.0016832,0.0016832
50,4281.17,0.67434,0.50987,1.07073,0.97974,0.95238,0.98303,0.75368,0.83939,0.73006,1.29127,0.0016766,0.0016766,0.0016766
51,4365.86,0.6293,0.50251,1.06536,0.9695,0.95238,0.98428,0.77173,0.80727,0.75093,1.2472,0.00167,0.00167,0.00167
52,4451.19,0.64026,0.50369,1.0822,0.89395,0.96825,0.9714,0.78947,0.82765,0.77638,1.20104,0.0016634,0.0016634,0.0016634
53,4535.06,0.65484,0.51083,1.0687,0.87468,0.88635,0.94854,0.75882,0.85235,0.7829,1.25566,0.0016568,0.0016568,0.0016568
54,4617.76,0.62551,0.45896,1.06307,0.90939,0.90476,0.93886,0.74164,0.85149,0.79482,1.31399,0.0016502,0.0016502,0.0016502
55,4699.33,0.66024,0.54956,1.06189,0.90097,0.93651,0.94246,0.73732,0.86256,0.71588,1.31268,0.0016436,0.0016436,0.0016436
56,4780.79,0.61099,0.46898,1.05047,0.92091,0.92415,0.95596,0.74273,0.86824,0.74635,1.24353,0.001637,0.001637,0.001637
57,4862.76,0.65702,0.53836,1.05946,0.95197,0.94393,0.96037,0.76308,0.83067,0.64484,1.22396,0.0016304,0.0016304,0.0016304
58,4943.1,0.66654,0.49487,1.07527,0.99631,0.95238,0.98101,0.78219,0.84626,0.55214,1.24241,0.0016238,0.0016238,0.0016238
59,5026.3,0.64029,0.55949,1.07761,1,0.96731,0.99095,0.79482,0.83959,0.53692,1.27466,0.0016172,0.0016172,0.0016172
60,5150.77,0.58931,0.46188,1.02011,0.97498,0.95238,0.97683,0.79131,0.79445,0.56571,1.27934,0.0016106,0.0016106,0.0016106
61,5291.94,0.61685,0.51364,1.0656,0.96582,0.95238,0.96485,0.74608,0.86756,0.65238,1.36661,0.001604,0.001604,0.001604
62,5456.64,0.63014,0.49031,1.07039,0.97843,0.88889,0.96077,0.71326,0.86972,0.74703,1.38809,0.0015974,0.0015974,0.0015974
63,5609.91,0.6499,0.47161,1.08772,0.95858,0.95238,0.95578,0.73545,0.92176,0.73279,1.30484,0.0015908,0.0015908,0.0015908
64,5757.98,0.60255,0.4628,1.06259,0.96547,0.95238,0.96378,0.76362,0.82534,0.62957,1.24005,0.0015842,0.0015842,0.0015842
65,5900.05,0.63374,0.51291,1.04989,0.92776,0.95238,0.94118,0.73276,0.87139,0.70826,1.28868,0.0015776,0.0015776,0.0015776
66,6039.29,0.62934,0.45852,1.04533,0.74055,0.92063,0.83538,0.56342,0.98837,0.95268,1.41022,0.001571,0.001571,0.001571
67,6180.55,0.61632,0.44624,1.05648,0.95312,0.96823,0.96742,0.73541,0.91104,0.65817,1.29683,0.0015644,0.0015644,0.0015644
68,6318.98,0.61531,0.44678,1.0783,0.96817,0.96571,0.9674,0.82337,0.74364,0.59161,1.19688,0.0015578,0.0015578,0.0015578
69,6457.75,0.61886,0.45805,1.09866,0.98242,0.96825,0.96603,0.8157,0.73533,0.56806,1.21049,0.0015512,0.0015512,0.0015512
70,6597.53,0.60552,0.46312,1.0122,0.95139,0.93203,0.94047,0.7303,0.93606,0.72033,1.40433,0.0015446,0.0015446,0.0015446
71,6741.05,0.66091,0.5038,1.07175,0.89371,0.93429,0.9381,0.69116,1.05881,0.75292,1.5089,0.001538,0.001538,0.001538
72,6884.4,0.62792,0.49723,1.08919,0.96717,0.96825,0.96483,0.78056,0.80542,0.54694,1.2334,0.0015314,0.0015314,0.0015314
73,7030.98,0.60964,0.44737,1.04613,0.96273,0.96825,0.9662,0.76343,0.88543,0.616,1.26308,0.0015248,0.0015248,0.0015248
74,7168.39,0.6098,0.45983,1.03144,0.99349,0.95238,0.96911,0.76426,0.88331,0.64752,1.24529,0.0015182,0.0015182,0.0015182
75,7307.75,0.60016,0.46194,1.06263,0.99154,0.95238,0.96971,0.79897,0.81479,0.60825,1.23223,0.0015116,0.0015116,0.0015116
76,7441.99,0.58447,0.46312,1.04176,0.94581,0.95238,0.9619,0.7782,0.87228,0.64667,1.28205,0.001505,0.001505,0.001505
77,7577.55,0.65372,0.49468,1.06891,0.99272,0.95238,0.98055,0.81845,0.79382,0.60146,1.20913,0.0014984,0.0014984,0.0014984
78,7721.71,0.61501,0.4535,1.05713,0.98384,0.96637,0.98511,0.80759,0.83174,0.59723,1.21335,0.0014918,0.0014918,0.0014918
79,7860.93,0.67639,0.52099,1.0787,0.99982,0.96825,0.9853,0.81177,0.76614,0.58561,1.18859,0.0014852,0.0014852,0.0014852
80,7991.21,0.59257,0.42416,1.04829,0.96669,0.96825,0.97796,0.83369,0.7052,0.60066,1.14648,0.0014786,0.0014786,0.0014786
81,8116.75,0.56644,0.40265,1.02644,0.99924,0.96825,0.97899,0.82087,0.74027,0.55815,1.17778,0.001472,0.001472,0.001472
82,8243.93,0.56381,0.41638,1.04456,1,0.96777,0.97528,0.81686,0.76272,0.55123,1.19788,0.0014654,0.0014654,0.0014654
83,8367.27,0.59369,0.41647,1.06198,1,0.96604,0.97425,0.82058,0.72273,0.51592,1.16082,0.0014588,0.0014588,0.0014588
84,8494.58,0.61174,0.44129,1.04271,1,0.96626,0.97246,0.80571,0.72551,0.51332,1.21811,0.0014522,0.0014522,0.0014522
85,8617.61,0.5993,0.43193,1.03443,0.95613,0.95238,0.96124,0.77838,0.77796,0.56903,1.23414,0.0014456,0.0014456,0.0014456
86,8742.14,0.6734,0.51524,1.08,0.9991,0.96825,0.97784,0.79876,0.80034,0.5151,1.23044,0.001439,0.001439,0.001439
87,8863.32,0.59797,0.42968,1.05336,1,0.96792,0.9791,0.81176,0.80008,0.51623,1.19867,0.0014324,0.0014324,0.0014324
